Fault,Horizon,Throw (m),Age (Ma),Delta_t (Ma),T_up (m),T_down (m)
,,,,,,
2A,Surface,0,0,14,510,515
2A,JTI Top,28,14,4,114,123
2A,OHY Top,34,18,3,370,372
2A,UHY Top,57,21,3,305,305
2A,CBS Top,62,24,3,273,280
2A,BNS Top,54,26.5,4,327,333
2A,RT Top,35,30.5,15,67,68
2A,Tertiary Base,32,45,,,
,,,,,,
2B,Surface,0,0,14,450,520
2B,JTI Top,60,14,4,105,120
2B,OHY Top,77,18,3,345,400
2B,UHY Top,168,21,3,310,365
2B,CBS Top,256,24,3,305,325
2B,BNS Top,301.3,26.5,4,340,385
2B,RT Top,312,30.5,15,72,77
2B,Tertiary Base,308,45,,,
,,,,,,
1D,Surface,0,0,14,516,550
1D,JTI Top,122,14,4,110,124
1D,OHY Top,158,18,3,370,450
1D,UHY Top,289,21,3,325,440
1D,CBS Top,464,24,3,300,420
1D,BNS Top,640,26.5,4,345,430
1D,RT Top,801.3,30.5,15,70,90
1D,Tertiary Base,820,45,,,
,,,,,,
1E,Surface,0,0,14,550,590
1E,JTI Top,134,14,4,110,130
1E,OHY Top,167,18,3,300,500
1E,UHY Top,255,21,3,350,450
1E,CBS Top,414,24,3,250,360
1E,BNS Top,608.4,26.5,4,350,650
1E,RT Top,849,30.5,15,80,100
1E,Tertiary Base,874,45,,,
,,,,,,
1A,Surface,0,0,14,592,682
1A,JTI Top,106,14,4,185,200
1A,OHY Top,143,18,3,550,590
1A,UHY Top,215,21,3,470,500
1A,CBS Top,220,24,3,425,465
1A,BNS Top,255,26.5,4,442,480
1A,RT Top,342.1,30.5,15,83,95
1A,Tertiary Base,352,45,,,
,,,,,,
1B,Surface,0,0,14,660,660
1B,JTI Top,38,14,4,175,180
1B,OHY Top,68,18,3,522,550
1B,UHY Top,151.8,21,3,430,470
1B,CBS Top,227,24,3,360,420
1B,BNS Top,307,26.5,4,394,460
1B,RT Top,365,30.5,15,86,90
1B,Tertiary Base,365,45,,,
,,,,,,
1C,Surface,0,0,14,650,650
1C,JTI Top,44,14,4,162,173
1C,OHY Top,76,18,3,495,525
1C,UHY Top,166,21,3,413,433
1C,CBS Top,210,24,3,350,385
1C,BNS Top,226,26.5,4,390,422
1C,RT Top,249,30.5,15,82,87
1C,Tertiary Base,249,45,,,
